In2Se3_bronze from Matlab for Lammps

150 atoms

2 atom types

-21.256059 21.256059 xlo xhi
-2.000000 2.050000 ylo yhi
-21.367622 21.367622 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.061387 -1.000000 13.906034
2 1 2.059556 1.050000 14.654475
3 1 10.279900 -1.000000 10.645143
4 1 7.842010 1.050000 12.549832
5 1 13.720926 -1.000000 5.543609
6 1 12.268509 1.050000 8.275209
7 1 14.789479 -1.000000 -0.516464
8 1 14.573672 1.050000 2.569727
9 1 13.300796 -1.000000 -6.487236
10 1 14.358914 1.050000 -3.580084
11 1 9.512285 -1.000000 -11.336306
12 1 11.661369 1.050000 -9.110866
13 1 4.079014 -1.000000 -14.225226
14 1 6.947468 1.050000 -13.066296
15 1 -2.059556 -1.000000 -14.654475
16 1 1.032287 1.050000 -14.762445
17 1 -7.842010 -1.000000 -12.549832
18 1 -5.061387 1.050000 -13.906034
19 1 -12.268509 -1.000000 -8.275209
20 1 -10.279900 1.050000 -10.645143
21 1 -14.573672 -1.000000 -2.569727
22 1 -13.720926 1.050000 -5.543609
23 1 -14.358914 -1.000000 3.580084
24 1 -14.789479 1.050000 0.516464
25 1 -11.661369 -1.000000 9.110866
26 1 -13.300796 1.050000 6.487236
27 1 -6.947468 -1.000000 13.066296
28 1 -9.512285 1.050000 11.336306
29 1 -1.032287 -1.000000 14.762445
30 1 -4.079014 1.050000 14.225226
31 1 1.327794 -1.000000 18.990700
32 1 8.937214 -1.000000 16.808805
33 1 5.247167 1.050000 18.299643
34 1 15.001308 -1.000000 11.720515
35 1 12.236661 1.050000 14.583341
36 1 18.471540 -1.000000 4.605642
37 1 17.110325 1.050000 8.345447
38 1 18.747874 -1.000000 -3.305589
39 1 19.025459 1.050000 0.664549
40 1 15.782531 -1.000000 -10.645253
41 1 17.650918 1.050000 -7.131256
42 1 10.088245 -1.000000 -16.144256
43 1 13.224373 1.050000 -13.694002
44 1 2.649610 -1.000000 -18.851771
45 1 6.511213 1.050000 -17.888930
46 1 -5.247167 -1.000000 -18.299643
47 1 -1.327794 1.050000 -18.990700
48 1 -12.236661 -1.000000 -14.583341
49 1 -8.937214 1.050000 -16.808805
50 1 -17.110325 -1.000000 -8.345447
51 1 -15.001308 1.050000 -11.720515
52 1 -19.025459 -1.000000 -0.664549
53 1 -18.471540 1.050000 -4.605642
54 1 -17.650918 -1.000000 7.131256
55 1 -18.747874 1.050000 3.305589
56 1 -13.224373 -1.000000 13.694002
57 1 -15.782531 1.050000 10.645253
58 1 -6.511213 -1.000000 17.888930
59 1 -10.088245 1.050000 16.144256
60 1 -2.649610 1.050000 18.851771
61 2 2.815065 -1.000000 13.242830
62 2 0.000210 1.050000 13.538728
63 2 7.958034 -1.000000 10.952937
64 2 5.506888 1.050000 12.368158
65 2 11.724987 -1.000000 6.769182
66 2 10.061376 1.050000 9.059021
67 2 13.464583 -1.000000 1.414974
68 2 12.876160 1.050000 4.183497
69 2 12.876030 -1.000000 -4.183896
70 2 13.464539 1.050000 -1.415391
71 2 10.061095 -1.000000 -9.059333
72 2 11.724777 1.050000 -6.769545
73 2 5.506505 -1.000000 -12.368328
74 2 7.957695 1.050000 -10.953184
75 2 -0.000210 -1.000000 -13.538728
76 2 2.814654 1.050000 -13.242917
77 2 -5.506888 -1.000000 -12.368158
78 2 -2.815065 1.050000 -13.242830
79 2 -10.061376 -1.000000 -9.059021
80 2 -7.958034 1.050000 -10.952937
81 2 -12.876160 -1.000000 -4.183497
82 2 -11.724987 1.050000 -6.769182
83 2 -13.464539 -1.000000 1.415391
84 2 -13.464583 1.050000 -1.414974
85 2 -11.724777 -1.000000 6.769545
86 2 -12.876030 1.050000 4.183896
87 2 -7.957695 -1.000000 10.953184
88 2 -10.061095 1.050000 9.059333
89 2 -2.814654 -1.000000 13.242917
90 2 -5.506505 1.050000 12.368328
91 2 5.936504 -1.000000 16.310525
