In2Se3_bronze from Matlab for Lammps

600 atoms

2 atom types

-72.227658 72.227658 xlo xhi
-2.150000 1.900000 ylo yhi
-72.227658 72.227658 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.722363 -1.150000 65.408693
2 1 2.291291 0.900000 65.618538
3 1 12.528091 -1.150000 64.452226
4 1 9.137750 0.900000 65.019567
5 1 19.196558 -1.150000 62.789607
6 1 15.884093 0.900000 63.708227
7 1 25.654704 -1.150000 60.439050
8 1 22.456407 0.900000 61.698885
9 1 31.831770 -1.150000 57.426309
10 1 28.782683 0.900000 59.013556
11 1 37.660081 -1.150000 53.784393
12 1 34.793609 0.900000 55.681661
13 1 43.075779 -1.150000 49.553202
14 1 40.423329 0.900000 51.739705
15 1 48.019529 -1.150000 44.779095
16 1 45.610161 0.900000 47.230877
17 1 52.437166 -1.150000 39.514379
18 1 50.297279 0.900000 42.204577
19 1 56.280290 -1.150000 33.816734
20 1 54.433327 0.900000 36.715874
21 1 59.506794 -1.150000 27.748585
22 1 57.972992 0.900000 30.824904
23 1 62.081329 -1.150000 21.376416
24 1 60.877492 0.900000 24.596209
25 1 63.975686 -1.150000 14.770043
26 1 63.115004 0.900000 18.098032
27 1 65.169111 -1.150000 8.001845
28 1 64.661014 0.900000 11.401570
29 1 65.648529 -1.150000 1.145978
30 1 65.498583 0.900000 4.580189
31 1 65.408686 -1.150000 -5.722445
32 1 65.618535 0.900000 -2.291374
33 1 64.452211 -1.150000 -12.528172
34 1 65.019556 0.900000 -9.137831
35 1 62.789583 -1.150000 -19.196637
36 1 63.708207 0.900000 -15.884173
37 1 60.439018 -1.150000 -25.654779
38 1 61.698856 0.900000 -22.456484
39 1 57.426269 -1.150000 -31.831842
40 1 59.013520 0.900000 -28.782757
41 1 53.784345 -1.150000 -37.660148
42 1 55.681617 0.900000 -34.793679
43 1 49.553148 -1.150000 -43.075841
44 1 51.739654 0.900000 -40.423394
45 1 44.779035 -1.150000 -48.019585
46 1 47.230820 0.900000 -45.610220
47 1 39.514313 -1.150000 -52.437216
48 1 42.204514 0.900000 -50.297331
49 1 33.816663 -1.150000 -56.280333
50 1 36.715806 0.900000 -54.433373
