In2Se3_bronze from Matlab for Lammps

300 atoms

2 atom types

-38.320985 38.320985 xlo xhi
-2.150000 1.900000 ylo yhi
-38.320985 38.320985 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

151 2 -3.187526 -1.150000 -30.325028
152 2 -0.000236 0.900000 -30.492091
153 2 -9.422799 -1.150000 -28.999629
154 2 -6.339893 0.900000 -29.825717
155 2 -15.246250 -1.150000 -26.406807
156 2 -12.402467 0.900000 -27.855815
157 2 -20.403367 -1.150000 -22.659882
158 2 -17.922993 0.900000 -24.668481
159 2 -24.668759 -1.150000 -17.922610
160 2 -22.660198 0.900000 -20.403016
161 2 -27.856007 -1.150000 -12.402035
162 2 -26.407044 0.900000 -15.245841
163 2 -29.825815 -1.150000 -6.339431
164 2 -28.999775 0.900000 -9.422350
165 2 -30.492091 -1.150000 0.000236
166 2 -30.325077 0.900000 -3.187056
167 2 -29.825717 -1.150000 6.339893
168 2 -30.325028 0.900000 3.187526
169 2 -27.855815 -1.150000 12.402467
170 2 -28.999629 0.900000 9.422799
171 2 -24.668481 -1.150000 17.922993
172 2 -26.406807 0.900000 15.246250
173 2 -20.403016 -1.150000 22.660198
174 2 -22.659882 0.900000 20.403367
175 2 -15.245841 -1.150000 26.407044
176 2 -17.922610 0.900000 24.668759
177 2 -9.422350 -1.150000 28.999775
178 2 -12.402035 0.900000 27.856007
179 2 -3.187056 -1.150000 30.325077
180 2 -6.339431 0.900000 29.825815
181 2 5.957944 -1.150000 33.789398
182 2 2.393352 0.900000 34.227071
183 2 12.852959 -1.150000 31.812292
184 2 9.457259 0.900000 32.981521
185 2 19.186239 -1.150000 28.444837
186 2 16.107839 0.900000 30.294521
187 2 24.680987 -1.150000 23.834206
188 2 22.054429 0.900000 26.283505
189 2 29.097059 -1.150000 18.181905
190 2 27.037135 0.900000 21.123774
191 2 32.241449 -1.150000 11.734968
192 2 30.838189 0.900000 15.040832
193 2 33.976733 -1.150000 4.775157
194 2 33.291465 0.900000 8.300534
195 2 34.227071 -1.150000 -2.393352
196 2 34.289745 0.900000 1.197463
197 2 32.981521 -1.150000 -9.457259
198 2 33.789398 0.900000 -5.957944
199 2 30.294521 -1.150000 -16.107839
200 2 31.812292 0.900000 -12.852959
201 2 26.283505 -1.150000 -22.054429
202 2 28.444837 0.900000 -19.186239
203 2 21.123774 -1.150000 -27.037135
204 2 23.834206 0.900000 -24.680987
205 2 15.040832 -1.150000 -30.838189
206 2 18.181905 0.900000 -29.097059
207 2 8.300534 -1.150000 -33.291465
208 2 11.734968 0.900000 -32.241449
209 2 1.197463 -1.150000 -34.289745
210 2 4.775157 0.900000 -33.976733
211 2 -5.957944 -1.150000 -33.789398
212 2 -2.393352 0.900000 -34.227071
