In2Se3_bronze from Matlab for Lammps

250 atoms

2 atom types

-32.607378 32.607378 xlo xhi
-2.000000 2.050000 ylo yhi
-32.669864 32.669864 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.426652 -1.000000 25.530371
2 1 2.184058 1.050000 26.009197
3 1 11.605309 -1.000000 23.378734
4 1 8.583666 1.050000 24.648917
5 1 17.054762 -1.000000 19.758125
6 1 14.443930 1.050000 21.739855
7 1 21.432601 -1.000000 14.896041
8 1 19.396630 1.050000 17.464798
9 1 24.463751 -1.000000 9.097983
10 1 23.130568 1.050000 12.092364
11 1 25.957754 -1.000000 2.728265
12 1 25.411127 1.050000 5.960121
13 1 25.820735 -1.000000 -3.812879
14 1 26.095011 1.050000 -0.546617
15 1 24.061305 -1.000000 -10.114446
16 1 25.139251 1.050000 -7.019009
17 1 20.790014 -1.000000 -15.780485
18 1 22.603898 1.050000 -13.050372
19 1 16.212411 -1.000000 -20.454979
20 1 18.648260 1.050000 -18.261731
21 1 10.616122 -1.000000 -23.844210
22 1 13.520882 1.050000 -22.325639
23 1 4.352783 -1.000000 -25.735223
24 1 7.543938 1.050000 -24.986745
25 1 -2.184058 -1.000000 -26.009197
26 1 1.092981 1.050000 -26.077841
27 1 -8.583666 -1.000000 -24.648917
28 1 -5.426652 1.050000 -25.530371
29 1 -14.443930 -1.000000 -21.739855
30 1 -11.605309 1.050000 -23.378734
31 1 -19.396630 -1.000000 -17.464798
32 1 -17.054762 1.050000 -19.758125
33 1 -23.130568 -1.000000 -12.092364
34 1 -21.432601 1.050000 -14.896041
35 1 -25.411127 -1.000000 -5.960121
36 1 -24.463751 1.050000 -9.097983
37 1 -26.095011 -1.000000 0.546617
38 1 -25.957754 1.050000 -2.728265
39 1 -25.139251 -1.000000 7.019009
40 1 -25.820735 1.050000 3.812879
41 1 -22.603898 -1.000000 13.050372
42 1 -24.061305 1.050000 10.114446
43 1 -18.648260 -1.000000 18.261731
44 1 -20.790014 1.050000 15.780485
45 1 -13.520882 -1.000000 22.325639
46 1 -16.212411 1.050000 20.454979
47 1 -7.543938 -1.000000 24.986745
48 1 -10.616122 1.050000 23.844210
49 1 -1.092981 -1.000000 26.077841
50 1 -4.352783 1.050000 25.735223
51 1 1.270321 -1.000000 30.312698
52 1 8.768873 -1.000000 29.044453
53 1 5.059492 1.050000 29.914460
54 1 15.716444 -1.000000 25.951238
55 1 12.339963 1.050000 27.716397
56 1 21.676493 -1.000000 21.227411
57 1 18.845068 1.050000 23.776812
58 1 26.274529 -1.000000 15.169788
59 1 24.166068 1.050000 18.343242
60 1 29.221639 -1.000000 8.158992
61 1 27.968625 1.050000 11.757098
62 1 30.332647 -1.000000 0.635536
63 1 30.013811 1.050000 4.432213
64 1 29.537742 -1.000000 -6.927853
65 1 30.173118 1.050000 -3.171164
66 1 26.886873 -1.000000 -14.055940
67 1 28.436538 1.050000 -10.575286
68 1 22.546602 -1.000000 -20.300840
69 1 24.913185 1.050000 -17.314923
70 1 16.789646 -1.000000 -25.270163
71 1 19.824446 1.050000 -22.966600
72 1 9.977734 -1.000000 -28.651670
73 1 13.490063 1.050000 -27.175201
74 1 2.538885 -1.000000 -30.232886
75 1 6.308050 1.050000 -29.676285
76 1 -5.059492 -1.000000 -29.914460
77 1 -1.270321 1.050000 -30.312698
78 1 -12.339963 -1.000000 -27.716397
79 1 -8.768873 1.050000 -29.044453
80 1 -18.845068 -1.000000 -23.776812
81 1 -15.716444 1.050000 -25.951238
82 1 -24.166068 -1.000000 -18.343242
83 1 -21.676493 1.050000 -21.227411
84 1 -27.968625 -1.000000 -11.757098
85 1 -26.274529 1.050000 -15.169788
86 1 -30.013811 -1.000000 -4.432213
87 1 -29.221639 1.050000 -8.158992
88 1 -30.173118 -1.000000 3.171164
89 1 -30.332647 1.050000 -0.635536
90 1 -28.436538 -1.000000 10.575286
91 1 -29.537742 1.050000 6.927853
92 1 -24.913185 -1.000000 17.314923
93 1 -26.886873 1.050000 14.055940
94 1 -19.824446 -1.000000 22.966600
95 1 -22.546602 1.050000 20.300840
96 1 -13.490063 -1.000000 27.175201
97 1 -16.789646 1.050000 25.270163
98 1 -6.308050 -1.000000 29.676285
99 1 -9.977734 1.050000 28.651670
100 1 -2.538885 1.050000 30.232886
101 2 3.113628 -1.000000 24.645062
102 2 0.000231 1.050000 24.840970
103 2 9.144786 -1.000000 23.096465
104 2 6.177922 1.050000 24.060488
105 2 14.601343 -1.000000 20.096631
106 2 11.967431 1.050000 21.768197
107 2 19.140444 -1.000000 15.834052
108 2 17.004982 1.050000 18.108130
109 2 22.476880 -1.000000 10.576562
110 2 20.974048 1.050000 13.310262
111 2 24.401011 -1.000000 4.654507
112 2 23.625238 1.050000 7.676062
113 2 24.791937 -1.000000 -1.560008
114 2 24.791966 1.050000 1.559547
115 2 23.625095 -1.000000 -7.676502
116 2 24.400925 1.050000 -4.654961
117 2 20.973801 -1.000000 -13.310652
118 2 22.476683 1.050000 -10.576980
119 2 17.004646 -1.000000 -18.108446
120 2 19.140149 1.050000 -15.834408
121 2 11.967026 -1.000000 -21.768419
122 2 14.600969 1.050000 -20.096903
