In2Se3_bronze from Matlab for Lammps

220 atoms

2 atom types

-29.279191 29.279191 xlo xhi
-2.000000 2.050000 ylo yhi
-29.279191 29.279191 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 2.158733 -1.000000 22.607230
2 1 8.440482 -1.000000 21.083293
3 1 5.354105 1.050000 22.069901
4 1 14.038433 -1.000000 17.851313
5 1 11.355035 1.050000 19.667489
6 1 18.499074 -1.000000 13.173126
7 1 16.436049 1.050000 15.671735
8 1 21.461030 -1.000000 7.427730
9 1 20.185511 1.050000 10.406349
10 1 22.684341 -1.000000 1.080584
11 1 22.299664 1.050000 4.297903
12 1 22.069901 -1.000000 -5.354105
13 1 22.607230 1.050000 -2.158733
14 1 19.667489 -1.000000 -11.355035
15 1 21.083293 1.050000 -8.440482
16 1 15.671735 -1.000000 -16.436049
17 1 17.851313 1.050000 -14.038433
18 1 10.406349 -1.000000 -20.185511
19 1 13.173126 1.050000 -18.499074
20 1 4.297903 -1.000000 -22.299664
21 1 7.427730 1.050000 -21.461030
22 1 -2.158733 -1.000000 -22.607230
23 1 1.080584 1.050000 -22.684341
24 1 -8.440482 -1.000000 -21.083293
25 1 -5.354105 1.050000 -22.069901
26 1 -14.038433 -1.000000 -17.851313
27 1 -11.355035 1.050000 -19.667489
28 1 -18.499074 -1.000000 -13.173126
29 1 -16.436049 1.050000 -15.671735
30 1 -21.461030 -1.000000 -7.427730
31 1 -20.185511 1.050000 -10.406349
32 1 -22.684341 -1.000000 -1.080584
33 1 -22.299664 1.050000 -4.297903
34 1 -22.069901 -1.000000 5.354105
35 1 -22.607230 1.050000 2.158733
36 1 -19.667489 -1.000000 11.355035
37 1 -21.083293 1.050000 8.440482
38 1 -15.671735 -1.000000 16.436049
39 1 -17.851313 1.050000 14.038433
40 1 -10.406349 -1.000000 20.185511
41 1 -13.173126 1.050000 18.499074
42 1 -4.297903 -1.000000 22.299664
43 1 -7.427730 1.050000 21.461030
44 1 -1.080584 1.050000 22.684341
45 1 5.099906 -1.000000 26.461664
46 1 1.282109 1.050000 26.918115
47 1 12.348436 -1.000000 23.952972
48 1 8.813884 1.050000 25.466531
49 1 18.596570 -1.000000 19.503751
50 1 15.631610 1.050000 21.951799
51 1 23.338120 -1.000000 13.474453
52 1 21.182957 1.050000 16.658664
53 1 26.188954 -1.000000 6.353535
54 1 25.018186 1.050000 10.015942
55 1 26.918115 -1.000000 -1.282109
56 1 26.826591 1.050000 2.561789
57 1 25.466531 -1.000000 -8.813884
58 1 26.461664 1.050000 -5.099906
59 1 21.951799 -1.000000 -15.631610
60 1 23.952972 1.050000 -12.348436
61 1 16.658664 -1.000000 -21.182957
62 1 19.503751 1.050000 -18.596570
63 1 10.015942 -1.000000 -25.018186
64 1 13.474453 1.050000 -23.338120
65 1 2.561789 -1.000000 -26.826591
66 1 6.353535 1.050000 -26.188954
67 1 -5.099906 -1.000000 -26.461664
68 1 -1.282109 1.050000 -26.918115
69 1 -12.348436 -1.000000 -23.952972
70 1 -8.813884 1.050000 -25.466531
71 1 -18.596570 -1.000000 -19.503751
72 1 -15.631610 1.050000 -21.951799
73 1 -23.338120 -1.000000 -13.474453
74 1 -21.182957 1.050000 -16.658664
75 1 -26.188954 -1.000000 -6.353535
76 1 -25.018186 1.050000 -10.015942
77 1 -26.918115 -1.000000 1.282109
78 1 -26.826591 1.050000 -2.561789
79 1 -25.466531 -1.000000 8.813884
80 1 -26.461664 1.050000 5.099906
81 1 -21.951799 -1.000000 15.631610
82 1 -23.952972 1.050000 12.348436
83 1 -16.658664 -1.000000 21.182957
84 1 -19.503751 1.050000 18.596570
85 1 -10.015942 -1.000000 25.018186
86 1 -13.474453 1.050000 23.338120
87 1 -2.561789 -1.000000 26.826591
88 1 -6.353535 1.050000 26.188954
89 2 0.000227 -1.000000 21.450297
90 2 6.043465 -1.000000 20.581346
91 2 3.052920 1.050000 21.231932
92 2 11.597097 -1.000000 18.045016
93 2 8.910982 1.050000 19.511782
94 2 16.211201 -1.000000 14.046786
95 2 14.047129 1.050000 16.210905
96 2 19.511971 -1.000000 8.910569
97 2 18.045261 1.050000 11.596716
98 2 21.231996 -1.000000 3.052471
99 2 20.581473 1.050000 6.043030
100 2 21.231932 -1.000000 -3.052920
101 2 21.450297 1.050000 -0.000227
102 2 19.511782 -1.000000 -8.910982
103 2 20.581346 1.050000 -6.043465
104 2 16.210905 -1.000000 -14.047129
105 2 18.045016 1.050000 -11.597097
106 2 11.596716 -1.000000 -18.045261
107 2 14.046786 1.050000 -16.211201
108 2 6.043030 -1.000000 -20.581473
109 2 8.910569 1.050000 -19.511971
110 2 -0.000227 -1.000000 -21.450297
111 2 3.052471 1.050000 -21.231996
112 2 -6.043465 -1.000000 -20.581346
113 2 -3.052920 1.050000 -21.231932
114 2 -11.597097 -1.000000 -18.045016
115 2 -8.910982 1.050000 -19.511782
116 2 -16.211201 -1.000000 -14.046786
117 2 -14.047129 1.050000 -16.210905
118 2 -19.511971 -1.000000 -8.910569
119 2 -18.045261 1.050000 -11.596716
120 2 -21.231996 -1.000000 -3.052471
121 2 -20.581473 1.050000 -6.043030
122 2 -21.231932 -1.000000 3.052920
123 2 -21.450297 1.050000 0.000227
124 2 -19.511782 -1.000000 8.910982
125 2 -20.581346 1.050000 6.043465
126 2 -16.210905 -1.000000 14.047129
127 2 -18.045016 1.050000 11.597097
128 2 -11.596716 -1.000000 18.045261
129 2 -14.046786 1.050000 16.211201
130 2 -6.043030 -1.000000 20.581473
131 2 -8.910569 1.050000 19.511971
132 2 -3.052471 1.050000 21.231996
133 2 2.401919 -1.000000 25.154438
134 2 9.391448 -1.000000 23.458807
135 2 5.957321 1.050000 24.556573
136 2 15.620138 -1.000000 19.862684
137 2 12.634393 1.050000 21.883488
138 2 20.583378 -1.000000 14.657404
139 2 18.287903 1.050000 17.437533
140 2 23.879074 -1.000000 8.264669
141 2 22.459835 1.050000 11.578893
142 2 25.240230 -1.000000 1.202379
143 2 24.812205 1.050000 4.782200
144 2 24.556573 -1.000000 -5.957321
145 2 25.154438 1.050000 -2.401919
146 2 21.883488 -1.000000 -12.634393
147 2 23.458807 1.050000 -9.391448
148 2 17.437533 -1.000000 -18.287903
149 2 19.862684 1.050000 -15.620138
150 2 11.578893 -1.000000 -22.459835
151 2 14.657404 1.050000 -20.583378
152 2 4.782200 -1.000000 -24.812205
153 2 8.264669 1.050000 -23.879074
154 2 -2.401919 -1.000000 -25.154438
155 2 1.202379 1.050000 -25.240230
156 2 -9.391448 -1.000000 -23.458807
157 2 -5.957321 1.050000 -24.556573
158 2 -15.620138 -1.000000 -19.862684
159 2 -12.634393 1.050000 -21.883488
160 2 -20.583378 -1.000000 -14.657404
161 2 -18.287903 1.050000 -17.437533
162 2 -23.879074 -1.000000 -8.264669
163 2 -22.459835 1.050000 -11.578893
164 2 -25.240230 -1.000000 -1.202379
165 2 -24.812205 1.050000 -4.782200
166 2 -24.556573 -1.000000 5.957321
167 2 -25.154438 1.050000 2.401919
168 2 -21.883488 -1.000000 12.634393
169 2 -23.458807 1.050000 9.391448
170 2 -17.437533 -1.000000 18.287903
171 2 -19.862684 1.050000 15.620138
172 2 -11.578893 -1.000000 22.459835
173 2 -14.657404 1.050000 20.583378
174 2 -4.782200 -1.000000 24.812205
175 2 -8.264669 1.050000 23.879074
176 2 -1.202379 1.050000 25.240230
177 2 7.967053 -1.000000 27.133719
178 2 4.024429 1.050000 27.991367
179 2 15.288783 -1.000000 23.790035
180 2 11.747490 1.050000 25.723707
181 2 21.371907 -1.000000 18.519023
182 2 18.518840 1.050000 21.372066
183 2 25.723607 -1.000000 11.747711
184 2 23.789904 1.050000 15.288987
185 2 27.991333 -1.000000 4.024668
186 2 27.133651 1.050000 7.967285
187 2 27.991367 -1.000000 -4.024429
188 2 28.279191 1.050000 0.000121
189 2 25.723707 -1.000000 -11.747490
190 2 27.133719 1.050000 -7.967053
191 2 21.372066 -1.000000 -18.518840
192 2 23.790035 1.050000 -15.288783
193 2 15.288987 -1.000000 -23.789904
194 2 18.519023 1.050000 -21.371907
195 2 7.967285 -1.000000 -27.133651
196 2 11.747711 1.050000 -25.723607
197 2 0.000121 -1.000000 -28.279191
198 2 4.024668 1.050000 -27.991333
199 2 -7.967053 -1.000000 -27.133719
200 2 -4.024429 1.050000 -27.991367
201 2 -15.288783 -1.000000 -23.790035
202 2 -11.747490 1.050000 -25.723707
203 2 -21.371907 -1.000000 -18.519023
204 2 -18.518840 1.050000 -21.372066
205 2 -25.723607 -1.000000 -11.747711
206 2 -23.789904 1.050000 -15.288987
207 2 -27.991333 -1.000000 -4.024668
208 2 -27.133651 1.050000 -7.967285
209 2 -27.991367 -1.000000 4.024429
210 2 -28.279191 1.050000 -0.000121
211 2 -25.723707 -1.000000 11.747490
212 2 -27.133719 1.050000 7.967053
213 2 -21.372066 -1.000000 18.518840
214 2 -23.790035 1.050000 15.288783
215 2 -15.288987 -1.000000 23.789904
216 2 -18.519023 1.050000 21.371907
217 2 -7.967285 -1.000000 27.133651
218 2 -11.747711 1.050000 25.723607
219 2 -0.000121 -1.000000 28.279191
220 2 -4.024668 1.050000 27.991333
