In2Se3_bronze from Matlab for Lammps

170 atoms

2 atom types

-23.531554 23.531554 xlo xhi
-2.000000 2.050000 ylo yhi
-23.628070 23.628070 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.171468 -1.000000 16.256181
2 1 2.096348 1.050000 16.929643
3 1 10.694660 -1.000000 13.290288
4 1 8.070479 1.050000 15.029134
5 1 14.773479 -1.000000 8.529467
6 1 12.954647 1.050000 11.098857
7 1 16.857058 -1.000000 2.616695
8 1 16.089218 1.050000 5.669617
9 1 16.663998 -1.000000 -3.649476
10 1 17.050851 1.050000 -0.525335
11 1 14.220372 -1.000000 -9.422766
12 1 15.709672 1.050000 -6.649338
13 1 9.856207 -1.000000 -13.923458
14 1 12.246815 1.050000 -11.875312
15 1 4.160906 -1.000000 -16.543711
16 1 7.129957 1.050000 -15.497458
17 1 -2.096348 -1.000000 -16.929643
18 1 1.050160 1.050000 -17.026587
19 1 -8.070479 -1.000000 -15.029134
20 1 -5.171468 1.050000 -16.256181
21 1 -12.954647 -1.000000 -11.098857
22 1 -10.694660 1.050000 -13.290288
23 1 -16.089218 -1.000000 -5.669617
24 1 -14.773479 1.050000 -8.529467
25 1 -17.050851 -1.000000 0.525335
26 1 -16.857058 1.050000 -2.616695
27 1 -15.709672 -1.000000 6.649338
28 1 -16.663998 1.050000 3.649476
29 1 -12.246815 -1.000000 11.875312
30 1 -14.220372 1.050000 9.422766
31 1 -7.129957 -1.000000 15.497458
32 1 -9.856207 1.050000 13.923458
33 1 -1.050160 -1.000000 17.026587
34 1 -4.160906 1.050000 16.543711
35 1 1.310932 -1.000000 21.257126
36 1 8.901367 -1.000000 19.348116
37 1 5.194597 1.050000 20.654300
38 1 15.289623 -1.000000 14.826036
39 1 12.305011 1.050000 17.383056
40 1 19.612931 -1.000000 8.301618
41 1 17.753565 1.050000 11.764134
42 1 21.287404 -1.000000 0.656021
43 1 20.804402 1.050000 4.556401
44 1 20.086895 -1.000000 -7.078176
45 1 21.045489 1.050000 -3.266700
46 1 16.173540 -1.000000 -13.856426
47 1 18.444266 1.050000 -10.648614
48 1 10.075858 -1.000000 -18.763289
49 1 13.352043 1.050000 -16.592374
50 1 2.617376 -1.000000 -21.136066
51 1 6.456552 1.050000 -20.295242
52 1 -5.194597 -1.000000 -20.654300
53 1 -1.310932 1.050000 -21.257126
54 1 -12.305011 -1.000000 -17.383056
55 1 -8.901367 1.050000 -19.348116
56 1 -17.753565 -1.000000 -11.764134
57 1 -15.289623 1.050000 -14.826036
58 1 -20.804402 -1.000000 -4.556401
59 1 -19.612931 1.050000 -8.301618
60 1 -21.045489 -1.000000 3.266700
61 1 -21.287404 1.050000 -0.656021
62 1 -18.444266 -1.000000 10.648614
63 1 -20.086895 1.050000 7.078176
64 1 -13.352043 -1.000000 16.592374
65 1 -16.173540 1.050000 13.856426
66 1 -6.456552 -1.000000 20.295242
67 1 -10.075858 1.050000 18.763289
68 1 -2.617376 1.050000 21.136066
69 2 2.903303 -1.000000 15.530125
70 2 0.000216 1.050000 15.799176
71 2 8.317378 -1.000000 13.432616
72 2 5.707522 1.050000 14.732215
