In2Se3_bronze from Matlab for Lammps

500 atoms

2 atom types

-60.925458 60.925458 xlo xhi
-2.150000 1.900000 ylo yhi
-60.925458 60.925458 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

1 1 5.681754 -1.150000 54.058563
2 1 2.276176 0.900000 54.308652
3 1 12.412288 -1.150000 52.920183
4 1 9.064908 0.900000 53.595131
5 1 18.947072 -1.150000 50.947219
6 1 15.710681 0.900000 52.036383
7 1 25.183049 -1.150000 48.170786
8 1 22.108687 0.900000 49.656989
9 1 31.021875 -1.150000 44.634671
10 1 28.158026 0.900000 46.494475
11 1 36.371467 -1.150000 40.394641
12 1 33.763295 0.900000 42.598715
13 1 41.147459 -1.150000 35.517562
14 1 38.836097 0.900000 38.031147
15 1 45.274531 -1.150000 30.080350
16 1 43.296431 0.900000 32.863805
17 1 48.687596 -1.150000 24.168753
18 1 47.073953 0.900000 27.178182
19 1 51.332828 -1.150000 17.876000
20 1 50.109091 0.900000 21.063941
21 1 53.168511 -1.150000 11.301332
22 1 52.353978 0.900000 14.617510
23 1 54.165694 -1.150000 4.548435
24 1 53.773211 0.900000 7.940552
25 1 54.308651 -1.150000 -2.276194
26 1 54.344408 0.900000 1.138367
27 1 53.595128 -1.150000 -9.064926
28 1 54.058562 0.900000 -5.681772
29 1 52.036377 -1.150000 -15.710698
30 1 52.920179 0.900000 -12.412305
31 1 49.656982 -1.150000 -22.108703
32 1 50.947212 0.900000 -18.947089
33 1 46.494466 -1.150000 -28.158041
34 1 48.170778 0.900000 -25.183065
35 1 42.598704 -1.150000 -33.763309
36 1 44.634661 0.900000 -31.021890
37 1 38.031134 -1.150000 -38.836110
38 1 40.394629 0.900000 -36.371480
39 1 32.863791 -1.150000 -43.296441
40 1 35.517549 0.900000 -41.147471
41 1 27.178166 -1.150000 -47.073962
42 1 30.080335 0.900000 -45.274541
43 1 21.063925 -1.150000 -50.109098
44 1 24.168737 0.900000 -48.687604
45 1 14.617493 -1.150000 -52.353983
46 1 17.875983 0.900000 -51.332834
47 1 7.940534 -1.150000 -53.773214
48 1 11.301314 0.900000 -53.168514
49 1 1.138349 -1.150000 -54.344409
50 1 4.548417 0.900000 -54.165695
51 1 -5.681789 -1.150000 -54.058560
52 1 -2.276212 0.900000 -54.308650
53 1 -12.412322 -1.150000 -52.920174
54 1 -9.064943 0.900000 -53.595125
55 1 -18.947105 -1.150000 -50.947206
56 1 -15.710715 0.900000 -52.036372
57 1 -25.183081 -1.150000 -48.170770
58 1 -22.108720 0.900000 -49.656975
59 1 -31.021904 -1.150000 -44.634651
60 1 -28.158056 0.900000 -46.494456
61 1 -36.371494 -1.150000 -40.394617
62 1 -33.763323 0.900000 -42.598693
63 1 -41.147482 -1.150000 -35.517535
64 1 -38.836122 0.900000 -38.031122
65 1 -45.274551 -1.150000 -30.080321
66 1 -43.296452 0.900000 -32.863777
67 1 -48.687612 -1.150000 -24.168721
68 1 -47.073971 0.900000 -27.178151
69 1 -51.332840 -1.150000 -17.875966
70 1 -50.109105 0.900000 -21.063909
71 1 -53.168518 -1.150000 -11.301297
72 1 -52.353988 0.900000 -14.617476
73 1 -54.165696 -1.150000 -4.548399
74 1 -53.773216 0.900000 -7.940517
75 1 -54.308649 -1.150000 2.276230
76 1 -54.344409 0.900000 -1.138331
77 1 -53.595122 -1.150000 9.064961
78 1 -54.058558 0.900000 5.681807
79 1 -52.036367 -1.150000 15.710732
80 1 -52.920170 0.900000 12.412340
81 1 -49.656967 -1.150000 22.108736
82 1 -50.947200 0.900000 18.947122
83 1 -46.494447 -1.150000 28.158071
84 1 -48.170761 0.900000 25.183097
85 1 -42.598682 -1.150000 33.763337
86 1 -44.634641 0.900000 31.021919
87 1 -38.031109 -1.150000 38.836135
88 1 -40.394605 0.900000 36.371507
89 1 -32.863763 -1.150000 43.296463
90 1 -35.517522 0.900000 41.147494
91 1 -27.178135 -1.150000 47.073980
92 1 -30.080306 0.900000 45.274560
